id_institucion,nombre,cue,id_edificio,establecimiento_de_cabecera,nivel_educativo,categoria,ambito
"129","ANTONIO TORRES TURNO TARDE","700041800","48",,"PRIMARIO","PRIMERA",
"130","ANTONIO TORRES TURNO MANANA","700042000","48",,"PRIMARIO","PRIMERA",
"131","C.E.N.S. NÂ° 210","700062100","48",,"CENS","SEGUNDA",
"132","INSTITUTO DE FORMACION DOCENTE ESCUELA DE LA FAMILIA          ","700077200","48",,"SUPERIOR","PRIMERA",
"133","25 DE MAYO","700047500","49",,"PRIMARIO","PRIMERA",
"134","PROPAA ZONA OESTE UNIDAD EDUCATIVA NÂ° 39","700066409","49",,"PROPAA","CUARTA",
"135","ESCUELA TEC. CAP. LAB. JUAN BAUTISTA ALBERDI","700070400","49",,"TEC. CAP. LABORAL","PRIMERA",
"136","ESCUELA DE SECUNDARIA 9 DE JULIO","700084400","49",,"SECUNDARIO","PRIMERA",
"137","E.N.I. NÂº 63 LIHUE","700100000","49",,"INICIAL","SEGUNDA",
"138","E.P.E.T. NÂ° 1 ING. ROGELIO BOERO","700027600","50",,"TECNICO","PRIMERA",
"139","E.P.E.T. NÂ° 2","700026700","51",,"TECNICO","PRIMERA",
"140","E.P.E.T. NÂ° 5","700061600","52",,"TECNICO","PRIMERA",
"141","MANUEL BELGRANO","700002500","53",,"PRIMARIO","PRIMERA",
"142","CENTRO EDUCATIVO DE EDUCACIoN DOMICILIARIA Y HOSPITALARIA","700060300","54",,"EDUCACION HOSPITALARIA","PRIMERA",
"143","ESCUELA E.E.E. JOSE A. TERRY","700045800","55",,"EDUCACION ESPECIAL","PRIMERA",
"144","PROPAA ZONA SUR UNIDAD EDUCATIVA NÂ° 73","700066121","55",,"PROPAA","TERCERA",
"145","ESCUELA E.E.E. MERCEDITAS DE SAN MARTIN","700026500","56",,"EDUCACION ESPECIAL","PRIMERA",
"146","PROPAA ZONA NORTE UNIDAD EDUCATIVA NÂ° 83","700066205","56",,"","",
"147","PINKANTA","700010600","57",,"INICIAL","PRIMERA",
"148","CORONEL LUIS JORGE FONTANA","700002300","58",,"PRIMARIO","PRIMERA",
"149","J.I.N.Z. CAPITAL - CORONEL LUIS JORGE FONTANA SEDE","700002400","58",,"INICIAL","PRIMERA",
"150","INSTITUTO SUPERIOR TECNICO PROFESIONAL DE ENOLOGIA E INDU. FRUTIH.","700064700","58",,"SUPERIOR","SEGUNDA",
"151","ANEXO NOCTURNA PEDRO ECHAGUE","700017701","211",,"UEPA","TERCERA",
