id_institucion,cue,nombre,establecimiento_cabecera,id_edificio,nivel_educativo,categoria,ambito
23,700005800,BENITA DAVILA DE DE LOS RIOS,BENITA DAVILA DE LOS RIOS,8,PRIMARIO,TERCERA,PUBLICO
24,700097301,J.I.N.Z. Nº 33 BENITA DAVILA DE LOS RIOS  ANEXO,BENITA DAVILA DE LOS RIOS,8,INICIAL,SEGUNDA,PUBLICO
25,700038300,JUAN GREGORIO DE LAS HERAS,JUAN GREGORIO DE LAS HERAS,9,PRIMARIO,TERCERA,PUBLICO
26,700097401,J.I.N.Z. Nº 34 JUAN GREGORIO DE LAS HERAS  ANEXO,JUAN GREGORIO DE LAS HERAS,9,INICIAL,PRIMERA,PUBLICO
27,700038400,ESCUELA E.E.E. HEBE NORA ARCE DE VIDELA DE ORO,E.E.E. HEBE NORA ARCE DE VIDELA DE ORO,10,EDUCACION ESPECIAL,PRIMERA,PUBLICO
28,700033000,CAMILO ROJO,CAMILO ROJO,11,PRIMARIO,PRIMERA,PUBLICO
29,700083800,E.N.I. Nº 15 TULUM,CAMILO ROJO,11,INICIAL,PRIMERA,PUBLICO
30,700033100,E.P.E.T. N° 1 ALBARDON,E.P.E.T. N° 1 ALBARDON,12,TECNICO,PRIMERA,PUBLICO
31,700038500,PROVINCIA DE JUJUY,PROVINCIA DE JUJUY,13,PRIMARIO,TERCERA,PUBLICO
32,700097300,J.I.N.Z. Nº 33 PROVINCIA DE JUJUY  SEDE,PROVINCIA DE JUJUY,13,INICIAL,PRIMERA,PUBLICO
33,700014900,ISLA VICECOMODORO MARAMBIO - EMER,ISLA VICECOMODORO MARAMBIO  EMER,14,PRIMARIO,TERCERA,PUBLICO
33,700014900,ISLA VICECOMODORO MARAMBIO - EMER,ISLA VICECOMODORO MARAMBIO  EMER,14,SECUNDARIO,TERCERA,PUBLICO
34,700102704,J.I.N.Z. Nº 13 ESC ISLA VICECOMODORO MARAMBIO ANEXO,ISLA VICECOMODORO MARAMBIO  EMER,14,INICIAL,SEGUNDA,PUBLICO
35,700049000,JUAN PASCUAL PRINGLES - EMER,JUAN PASCUAL PRINGLES  EMER,15,PRIMARIO,TERCERA,PUBLICO
35,700049000,JUAN PASCUAL PRINGLES - EMER,JUAN PASCUAL PRINGLES  EMER,15,SECUNDARIO,TERCERA,PUBLICO
36,700102702,J.I.N.Z. Nº 13 ESC JUAN PASCUAL PRINGLES ANEXO,JUAN PASCUAL PRINGLES  EMER,15,INICIAL,SEGUNDA,PUBLICO
37,700049600,CAPITAN JUAN EUGENIO DE MALLEA - EMER,"CAPITAN JUAN EUGENIO DE MALLEA ""EMER""",16,PRIMARIO,TERCERA,PUBLICO
38,700102700,J.I.N.Z. Nº 13 ESC CAPITAN JUAN EUGENIO DE MALLEA SEDE,"CAPITAN JUAN EUGENIO DE MALLEA ""EMER""",16,INICIAL,PRIMERA,PUBLICO
39,700112200,ESCUELA SECUNDARIA CAPITAN JUAN EUGENIO DE MALLEA,"CAPITAN JUAN EUGENIO DE MALLEA ""EMER""",16,SECUNDARIO,TERCERA,PUBLICO
40,700049500,CIRILO SARMIENTO,CIRILO SARMIENTO,17,PRIMARIO,TERCERA,PUBLICO
41,700068201,ANEXO ESC. TEC. CAP. LAB. JUAN JOSE PASO,CIRILO SARMIENTO,17,TEC. CAP. LABORAL,TERCERA,PUBLICO
42,700101500,ESCUELA SECUNDARIA CIRILO SARMIENTO,CIRILO SARMIENTO,17,SECUNDARIO,TERCERA,PUBLICO
43,700102703,J.I.N.Z. Nº 13  ESC CIRILO SARMIENTO ANEXO,CIRILO SARMIENTO,17,INICIAL,SEGUNDA,PUBLICO
44,700014800,JUAN JOSE PASO,JUAN JOSE PASO,18,PRIMARIO,SEGUNDA,PUBLICO
45,700068200,ESCUELA TEC. CAP. LAB. JUAN JOSE PASO,JUAN JOSE PASO,18,TEC. CAP. LABORAL,TERCERA,PUBLICO
46,700100400,ESCUELA SECUNDARIA JUAN JOSE PASO,JUAN JOSE PASO,18,SECUNDARIO,TERCERA,PUBLICO
47,700103801,J.I.N.Z. Nº 14 ESC JUAN JOSE PASO ANEXO,JUAN JOSE PASO,18,INICIAL,SEGUNDA,PUBLICO
48,700048900,JUAN HUARPE - EMER,JUAN HUARPE  EMER,19,PRIMARIO,TERCERA,PUBLICO
49,700103804,J.I.N.Z. Nº 14 ESC JUAN HUARPE ANEXO,JUAN HUARPE EMER,19,INICIAL,SEGUNDA,PUBLICO
50,700014600,DR. BERNARDO HOUSSAY,DR. BERNARDO HOUSSAY,20,PRIMARIO,TERCERA,PUBLICO
51,700103800,J.I.N.Z. Nº 14 ESC DR. BERNARDO HOUSSAY SEDE,DR. BERNARDO HOUSSAY,20,INICIAL,PRIMERA,PUBLICO
52,700049200,JUAN JUFRE,JUAN JUFRE,21,PRIMARIO,PRIMERA,PUBLICO
53,700049300,"ESCUELA NOCTURNA “ANGEL ROGELIO GONZALEZ""",JUAN JUFRE,21,UEPA,TERCERA,PUBLICO
54,700071500,ESCUELA TEC. CAP. LAB. JUAN DE GARAY,JUAN JUFRE,21,TEC. CAP. LABORAL,SEGUNDA,PUBLICO
55,700097600,C.E.N.S. JUAN DE GARAY,JUAN JUFRE,21,CENS,TERCERA,PUBLICO
56,700022701,AULA SATELITE ESCUELA NOCTURNA PASO DE LOS PATOS - UEPA N° 7,LA CAPILLA,22,UEPA,TERCERA,PUBLICO
57,700031600,C.E.N.S. CALINGASTA,LA CAPILLA,22,CENS,TERCERA,PUBLICO
58,700032000,LA CAPILLA,LA CAPILLA,22,PRIMARIO,PRIMERA,PUBLICO
59,700067700,UNIDAD EDUCATIVA N° 22  (EX - ETCL JOSE H. GONZALEZ),LA CAPILLA,22,TEC. CAP. LABORAL,TERCERA,PUBLICO
60,700094200,J.I.N.Z. Nº 2 ESC LA CAPILLA SEDE,LA CAPILLA,22,INICIAL,PRIMERA,PUBLICO
61,700031700,LUIS PASTEUR,LUIS PASTEUR,23,PRIMARIO,TERCERA,PUBLICO
62,700105500,J.I.N.Z. Nº 25 SEDE ESC LUIS PASTEUR,LUIS PASTEUR,23,INICIAL,TERCERA,PUBLICO
63,700031900,JORGE NEWBERY,JORGE NEWBERY,24,PRIMARIO,TERCERA,PUBLICO
64,700094201,J.I.N.Z. Nº 2 ESC JORGE NEWBERY ANEXO,JORGE NEWBERY,24,INICIAL,PRIMERA,PUBLICO
65,700022500,SATURNINO ARAOZ,SATURNINO S. ARAOZ,25,PRIMARIO,SEGUNDA,PUBLICO
66,700022700,ESCUELA NOCTURNA PASO DE LOS PATOS (UEPA Nº 7 ),SATURNINO S. ARAOZ,25,UEPA,TERCERA,PUBLICO
67,700116800,E.N.I. Nº 74,SATURNINO S. ARAOZ,25,INICIAL,TERCERA,PUBLICO
68,700022200,JOSE CLEMENTE SARMIENTO,JOSE CLEMENTE SARMIENTO,26,PRIMARIO,TERCERA,PUBLICO
69,700022400,JUAN PEDRO ESNAOLA,JUAN PEDRO ESNAOLA,27,PRIMARIO,PRIMERA,PUBLICO
70,700094202,J.I.N.Z. Nº 2 ESC JUAN PEDRO ESNAOLA ANEXO,JUAN PEDRO ESNAOLA,27,INICIAL,PRIMERA,PUBLICO
71,700022600,MARTIN GIL,MARTIN GIL,28,PRIMARIO,TERCERA,PUBLICO
72,700105600,J.I.N.Z. Nº 24 ESC MARTIN GIL SEDE,MARTIN GIL,28,INICIAL,TERCERA,PUBLICO
73,700011500,12 DE OCTUBRE,12 DE OCTUBRE,29,PRIMARIO,TERCERA,PUBLICO
74,700105501,J.I.N.Z. Nº 25  ESC 12 DE OCTUBRE ANEXO,12 DE OCTUBRE,29,INICIAL,TERCERA,PUBLICO
75,700105604,J.I.N.Z. Nº 24 ESC BATALLA DE CHACABUCO ANEXO,BATALLA DE CHACABUCO,30,INICIAL,TERCERA,PUBLICO
76,700011400,BATALLA DE CHACABUCO,BATALLA DE CHACABUCO,30,PRIMARIO,TERCERA,PUBLICO
77,700031800,CLOTILDE GUILLEN DE REZZANO,CLOTILDE GUILLEN DE REZZANO,31,PRIMARIO,TERCERA,PUBLICO
78,700105502,J.I.N.Z. Nº 25  ESC CLOTILDE GUILLEN DE REZZANOANEXO,CLOTILDE GUILLEN DE REZZANO,31,INICIAL,TERCERA,PUBLICO
79,700044700,BENITO JUAREZ,BENITO JUAREZ,32,PRIMARIO,TERCERA,PUBLICO
80,700105504,J.I.N.Z. Nº 25  ESC BENITO JUAREZ ANEXO,BENITO JUAREZ,32,INICIAL,TERCERA,PUBLICO
81,700011300,FRANCISCO JAVIER MUNIZ,FRANCISCO JAVIER MUNIZ,33,PRIMARIO,TERCERA,PUBLICO
82,700105601,J.I.N.Z. Nº 24 ESC FRANCISCO JAVIER MUNIZ ANEXO,FRANCISCO JAVIER MUNIZ,33,INICIAL,TERCERA,PUBLICO
83,700010900,REMEDIOS ESCALADA DE SAN MARTIN,REMEDIOS ESCALADA DE SAN MARTIN,34,PRIMARIO,TERCERA,PUBLICO
84,700022702,ESCUELA NOCTURNA PASO DE LOS PATOS AULA SATELITE,REMEDIOS ESCALADA DE SAN MARTIN,34,UEPA,TERCERA,PUBLICO
85,700044900,COLEGIO SECUNDARIO DE TAMBERIAS,REMEDIOS ESCALADA DE SAN MARTIN,34,SECUNDARIO,TERCERA,PUBLICO
86,700105602,J.I.N.Z. Nº 24 ESC REMEDIOS ESCALADA DE SAN MARTIN ANEXO,REMEDIOS ESCALADA DE SAN MARTIN,34,INICIAL,TERCERA,PUBLICO
87,700107900,C.E.N.S. TAMBERIAS,REMEDIOS ESCALADA DE SAN MARTIN,34,CENS,TERCERA,PUBLICO
88,700011100,BATALLA DE MAIPU,BATALLA DE MAIPU,35,PRIMARIO,TERCERA,PUBLICO
89,700068900,ESCUELA TEC. CAP. LAB. REMEDIOS ESCALADA DE SAN MARTIN,BATALLA DE MAIPU,35,TEC. CAP. LABORAL,TERCERA,PUBLICO
90,700105603,J.I.N.Z. Nº 24  ESC BATALLA DE MAIPU ANEXO,BATALLA DE MAIPU,35,INICIAL,TERCERA,PUBLICO
91,700010800,SATURNINO MARIA DE LASPIUR,SATURNINO MARIA DE LASPIUR,36,PRIMARIO,TERCERA,PUBLICO
92,700105503,J.I.N.Z. Nº 25  ESC SATURNINO MARIA DE LASPIUR ANEXO,SATURNINO MARIA DE LASPIUR,36,INICIAL,TERCERA,PUBLICO
93,700044800,TTE. CORONEL ALVAREZ CONDARCO,ALBERGUE TTE. CORONEL ALVAREZ CONDARCO,37,ALBERGUE,TERCERA,PUBLICO
94,700105505,J.I.N.Z. Nº 25  ESC ALBERGUE TENIENTE CORONEL ALVAREZ CONDARCO ANEXO,ALBERGUE TENIENTE CORONEL ALVAREZ CONDARCO,37,INICIAL,TERCERA,PUBLICO
95,700002401,J.I.N.Z. CAPITAL - PROVINCIA DE BUENOS AIRES ANEXO,PROVINCIA DE BUENOS AIRES,38,INICIAL,PRIMERA,PUBLICO
96,700030500,C.E.N.T. N° 18,PROVINCIA DE BUENOS AIRES,38,SUPERIOR,PRIMERA,PUBLICO
97,700060900,PROVINCIA DE BUENOS AIRES,PROVINCIA DE BUENOS AIRES,38,PRIMARIO,PRIMERA,PUBLICO
98,700066400,PROPAA ZONA OESTE SEDE PROV BS AS,PROVINCIA DE BUENOS AIRES,38,PROPAA,CUARTA,PUBLICO
99,700002403,J.I.N.Z. CAPITAL - PROVINCIA DE SANTIAGO DEL ESTERO ANEXO,PROVINCIA DE SANTIAGO DEL ESTERO,39,INICIAL,PRIMERA,PUBLICO
100,700030800,ESCUELA SECUNDARIA DE COMERCIO GRAL. MANUEL BELGRANO,PROVINCIA DE SANTIAGO DEL ESTERO,39,SECUNDARIO,PRIMERA,PUBLICO
101,700030900,PROVINCIA DE SANTIAGO DEL ESTERO,PROVINCIA DE SANTIAGO DEL ESTERO,39,PRIMARIO,PRIMERA,PUBLICO
102,700061700,COLEGIO NACIONAL MONS. DR. PABLO CABRERA,COLEGIO NACIONAL MONS. DR. PABLO CABRERA,40,SECUNDARIO,PRIMERA,PUBLICO
103,700062200,LICEO PAULA ALBARRACIN DE SARMIENTO,COLEGIO NACIONAL MONS. DR. PABLO CABRERA,40,SECUNDARIO,PRIMERA,PUBLICO
104,700062700,ESCUELA COMERCIO NOCTURNA DR. SANTIAGO CORTINEZ,COLEGIO NACIONAL MONS. DR. PABLO CABRERA,40,SECUNDARIO,PRIMERA,PUBLICO
105,700024200,C.E.N.S. N° 74 JUAN VUCETICH,FRAY JUSTO SANTA MARIA DE ORO,41,CENS,TERCERA,PUBLICO
106,700059800,COLEGIO PROVINCIAL CONCEPCION,FRAY JUSTO SANTA MARIA DE ORO,41,SECUNDARIO,PRIMERA,PUBLICO
107,700060000,FRAY JUSTO SANTA MARIA DE ORO,FRAY JUSTO SANTA MARIA DE ORO,41,PRIMARIO,PRIMERA,PUBLICO
108,700115200,E.N.I. Nº 77,FRAY JUSTO SANTA MARIA DE ORO,41,INICIAL,TERCERA,PUBLICO
109,700054900,PROVINCIA DE SANTA FE,PROVINCIA DE SANTA FE,42,PRIMARIO,SEGUNDA,PUBLICO
110,700055500,COLEGIO PROVINCIAL DE CAPITAL,PROVINCIA DE SANTA FE,42,SECUNDARIO,PRIMERA,PUBLICO
111,700058400,DR. JUAN CRISOSTOMO ALBARRACIN,PROVINCIA DE SANTA FE,42,PRIMARIO,TERCERA,PUBLICO
112,700087000,E.N.I. Nº 35 ESTRELLA DE LOS ANDES,PROVINCIA DE SANTA FE,42,INICIAL,PRIMERA,PUBLICO
113,700012800,NOCTURNA SARMIENTO,SARMIENTO,43,UEPA,TERCERA,PUBLICO
114,700047700,PAULA ALBARRACIN DE SARMIENTO,SARMIENTO,43,PRIMARIO,PRIMERA,PUBLICO
115,700047800,ESCUELA DE BIBLIOTECOLOGIA DR. MARIANO MORENO,SARMIENTO,43,SUPERIOR,PRIMERA,PUBLICO
116,700048000,SARMIENTO,SARMIENTO,43,PRIMARIO,PRIMERA,PUBLICO
117,700067400,ESCUELA TEC. CAP. LAB. SABINO PIGNATARI,SARMIENTO,43,TEC. CAP. LABORAL,SEGUNDA,PUBLICO
118,700060500,ESCUELA NORMAL SUPERIOR GRAL. SAN MARTIN,ESC. NORMAL SUPERIOR GRAL. SAN MARTIN,44,INICIAL,PRIMERA,PUBLICO
118,700060500,ESCUELA NORMAL SUPERIOR GRAL. SAN MARTIN,ESC. NORMAL SUPERIOR GRAL. SAN MARTIN,44,PRIMARIO,PRIMERA,PUBLICO
118,700060500,ESCUELA NORMAL SUPERIOR GRAL. SAN MARTIN,ESC. NORMAL SUPERIOR GRAL. SAN MARTIN,44,SECUNDARIO,PRIMERA,PUBLICO
118,700060500,ESCUELA NORMAL SUPERIOR GRAL. SAN MARTIN,ESC. NORMAL SUPERIOR GRAL. SAN MARTIN,44,SUPERIOR,PRIMERA,PUBLICO
119,700012900,C.E.N.S. Nº 69 PROFESORA MARIA DEL CARMEN CABALLERO VIDAL,ESC. NORMAL SUPERIOR SARMIENTO,45,CENS,TERCERA,PUBLICO
120,700025400,ESCUELA SUPERIOR NORMAL SUPERIOR SARMIENTO,ESC. NORMAL SUPERIOR SARMIENTO,45,INICIAL,PRIMERA,PUBLICO
120,700025400,ESCUELA SUPERIOR NORMAL SUPERIOR SARMIENTO,ESC. NORMAL SUPERIOR SARMIENTO,45,PRIMARIO,PRIMERA,PUBLICO
120,700025400,ESCUELA SUPERIOR NORMAL SUPERIOR SARMIENTO,ESC. NORMAL SUPERIOR SARMIENTO,45,SECUNDARIO,PRIMERA,PUBLICO
120,700025400,ESCUELA SUPERIOR NORMAL SUPERIOR SARMIENTO,ESC. NORMAL SUPERIOR SARMIENTO,45,SUPERIOR,PRIMERA,PUBLICO
121,700024401,NOCTURNA JUAN B. ALBERDI ANEXO,BERNARDINO RIVADAVIA,46,UEPA,TERCERA,PUBLICO
122,700042400,FRANCISCO NARCISO DE LAPRIDA,BERNARDINO RIVADAVIA,46,PRIMARIO,PRIMERA,PUBLICO
123,700044000,BERNARDINO RIVADAVIA,BERNARDINO RIVADAVIA,46,PRIMARIO,PRIMERA,PUBLICO
124,700079300,ESCUELA TEC. CAP. LAB. DOMINGO CAYETANO VALLVE,BERNARDINO RIVADAVIA,46,TEC. CAP. LABORAL,PRIMERA,PUBLICO
125,700089200,ESCUELA SECUNDARIA DR. FRANCISCO NARCISO LAPRIDA,BERNARDINO RIVADAVIA,46,SECUNDARIO,TERCERA,PUBLICO
126,700000900,C.E.N.S 348 MADRE TERESA DE CALCUTA,E.P.E.T. N° 4,47,CENS,TERCERA,PUBLICO
127,700026400,E.P.E.T. N° 4,E.P.E.T. N° 4,47,TECNICO,PRIMERA,PUBLICO
128,700009600,NOCTURNA ANTONIO TORRES,ANTONIO TORRES,48,UEPA,TERCERA,PUBLICO
129,700041800,ANTONIO TORRES TURNO TARDE,ANTONIO TORRES,48,PRIMARIO,PRIMERA,PUBLICO
130,700042000,ANTONIO TORRES TURNO MANANA,ANTONIO TORRES,48,PRIMARIO,PRIMERA,PUBLICO
131,700062100,C.E.N.S. N° 210,ANTONIO TORRES,48,CENS,SEGUNDA,PUBLICO
132,700077200,INSTITUTO DE FORMACION DOCENTE ESCUELA DE LA FAMILIA          ,ANTONIO TORRES,48,SUPERIOR,PRIMERA,PUBLICO
133,700047500,25 DE MAYO,25 DE MAYO,49,PRIMARIO,PRIMERA,PUBLICO
134,700066409,PROPAA ZONA OESTE UNIDAD EDUCATIVA N° 39,25 DE MAYO,49,PROPAA,CUARTA,PUBLICO
135,700070400,ESCUELA TEC. CAP. LAB. JUAN BAUTISTA ALBERDI,25 DE MAYO,49,TEC. CAP. LABORAL,PRIMERA,PUBLICO
136,700084400,ESCUELA DE SECUNDARIA 9 DE JULIO,25 DE MAYO,49,SECUNDARIO,PRIMERA,PUBLICO
137,700100000,E.N.I. Nº 63 LIHUE,25 DE MAYO,49,INICIAL,SEGUNDA,PUBLICO
138,700027600,E.P.E.T. N° 1 ING. ROGELIO BOERO,"E.P.E.T. N° 1 SAN JUAN ""ING. ROGELIO BOERO""",50,TECNICO,PRIMERA,PUBLICO
139,700026700,E.P.E.T. N° 2,E.P.E.T. N° 2,51,TECNICO,PRIMERA,PUBLICO
140,700061600,E.P.E.T. N° 5,E.P.E.T. N° 5 SAN JUAN,52,TECNICO,PRIMERA,PUBLICO
141,700002500,MANUEL BELGRANO,MANUEL BELGRANO,53,PRIMARIO,PRIMERA,PUBLICO
142,700060300,CENTRO EDUCATIVO DE EDUCACIoN DOMICILIARIA Y HOSPITALARIA,E.E.E. DR. GUILLERMO RAWSON,54,EDUCACION HOSPITALARIA,PRIMERA,PUBLICO
143,700045800,ESCUELA E.E.E. JOSE A. TERRY,E.E.E. JOSE A. TERRY,55,EDUCACION ESPECIAL,PRIMERA,PUBLICO
144,700066121,PROPAA ZONA SUR UNIDAD EDUCATIVA N° 73,E.E.E. JOSE A. TERRY,55,PROPAA,TERCERA,PUBLICO
145,700026500,ESCUELA E.E.E. MERCEDITAS DE SAN MARTIN,E.E.E. MERCEDITAS DE SAN MARTIN,56,EDUCACION ESPECIAL,PRIMERA,PUBLICO
146,700066205,PROPAA ZONA NORTE UNIDAD EDUCATIVA N° 83,E.E.E. MERCEDITAS DE SAN MARTIN,56,,,
147,700010600,PINKANTA,PINKANTA (EX E.N.I. N° 2),57,INICIAL,PRIMERA,PUBLICO
148,700002300,CORONEL LUIS JORGE FONTANA,CORONEL LUIS JORGE FONTANA,58,PRIMARIO,PRIMERA,PUBLICO
149,700002400,J.I.N.Z. CAPITAL - CORONEL LUIS JORGE FONTANA SEDE,CORONEL LUIS JORGE FONTANA,58,INICIAL,PRIMERA,PUBLICO
150,700064700,INSTITUTO SUPERIOR TECNICO PROFESIONAL DE ENOLOGIA E INDU. FRUTIH.,LUIS JORGE FONTANA,58,SUPERIOR,SEGUNDA,PUBLICO
151,700017701,ANEXO NOCTURNA PEDRO ECHAGUE,B° PARQUE RIVADAVIA NORTE,211,UEPA,TERCERA,PUBLICO
152,700027800,CAMPANA DEL DESIERTO,CAMPANA DEL DESIERTO,59,PRIMARIO,PRIMERA,PUBLICO
153,700098303,J.I.N.Z. Nº 42 CAMPANA DEL DESIERTO ANEXO,CAMPANA DEL DESIERTO,59,INICIAL,PRIMERA,PUBLICO
154,700101400,ESCUELA SECUNDARIA CAMPANA DEL DESIERTO,CAMPANA DEL DESIERTO,59,SECUNDARIO,TERCERA,PUBLICO
155,700027200,NOCTURNA MATIAS ZAVALLA,PRESIDENTE HIPOLITO YRIGOYEN,60,UEPA,TERCERA,PUBLICO
156,700027400,PRESIDENTE HIPOLITO YRIGOYEN,PRESIDENTE HIPOLITO YRIGOYEN,60,PRIMARIO,SEGUNDA,PUBLICO
157,700027500,FAUSTINA SARMIENTO DE BELIN,PRESIDENTE HIPOLITO YRIGOYEN,60,PRIMARIO,TERCERA,PUBLICO
158,700071900,ESCUELA TEC. CAP. LAB. ING. ESTANISLAO TELLO,PRESIDENTE HIPOLITO YRIGOYEN,60,TEC. CAP. LABORAL,PRIMERA,PUBLICO
159,700098301,J.I.N.Z. Nº 42  PRESIDENTE HIPOLITO IRIGOYEN ANEXO,PRESIDENTE HIPOLITO YRIGOYEN,60,INICIAL,PRIMERA,PUBLICO
160,700098302,J.I.N.Z. Nº 42  FAUSTINA SARMIENTO DE BELIN ANEXO,PRESIDENTE HIPOLITO YRIGOYEN,60,INICIAL,PRIMERA,PUBLICO
161,700106700,ESCUELA SECUNDARIA FAUSTINA SARMIENTO DE BELIN,PRESIDENTE HIPOLITO YRIGOYEN,60,SECUNDARIO,TERCERA,PUBLICO
162,700115700,ESCUELA SECUNDARIA PRESIDENTE HIPOLITO YRIGOYEN,PRESIDENTE HIPOLITO YRIGOYEN,60,SECUNDARIO,TERCERA,PUBLICO
163,700061500,TENIENTE 1° FRANCISCO IBANEZ,TTE. 1° FRANCISCO IBANEZ,61,PRIMARIO,PRIMERA,PUBLICO
164,700098404,J.I.N.Z. Nº 41 TTE 1º FRANCISCO IBANEZ ANEXO,TTE. 1° FRANCISCO IBANEZ,61,INICIAL,PRIMERA,PUBLICO
165,700105400,ESCUELA SECUNDARIA TENIENTE 1º FRANCISCO IBANEZ,TTE. 1° FRANCISCO IBANEZ,61,SECUNDARIO,TERCERA,PUBLICO
166,700031100,COMANDANTE CABOT,COMANDANTE CABOT,62,PRIMARIO,TERCERA,PUBLICO
167,700069101,ANEXO ESC. TEC. CAP. LAB. RICARDO ROJAS,COMANDANTE CABOT,62,TEC. CAP. LABORAL,PRIMERA,PUBLICO
168,700098402,J.I.N.Z. Nº 41  COMANDANTE CABOT ANEXO,COMANDANTE CABOT,62,INICIAL,PRIMERA,PUBLICO
169,700111800,ESCUELA SECUNDARIA COMANDANTE CABOT,COMANDANTE CABOT,62,SECUNDARIO,TERCERA,PUBLICO
170,700003000,CLARA ROSA CORTINEZ,CLARA ROSA CORTINEZ,63,PRIMARIO,PRIMERA,PUBLICO
171,700087800,E.N.I. Nº 31 PATRICIAS SANJUANINAS,CLARA ROSA CORTINEZ,63,INICIAL,PRIMERA,PUBLICO
172,700002600,E.N.I. Nº  1 FEDERICO FROEBEL,ESTEBAN ECHEVERRIA,64,INICIAL,PRIMERA,PUBLICO
173,700031200,C.E.N.S. N° 188,ESTEBAN ECHEVERRIA,64,CENS,TERCERA,PUBLICO
174,700031300,ESTEBAN ECHEVERRIA,ESTEBAN ECHEVERRIA,64,PRIMARIO,TERCERA,PUBLICO
175,700066416,PROPAA ZONA OESTE UNIDAD EDUCATIVA N° 57,ESTEBAN ECHEVERRIA,64,,,
176,700069900,ESCUELA TEC. CAP. LAB. NICOMEDES SEGUNDO PINTO,ESTEBAN ECHEVERRIA,64,TEC. CAP. LABORAL,SEGUNDA,PUBLICO
177,700093400,ESCUELA SECUNDARIA ESTEBAN ECHEVERRIA,ESTEBAN ECHEVERRIA,64,SECUNDARIO,TERCERA,PUBLICO
178,700059700,NOCTURNA FRAY JUSTO SANTA MARIA DE ORO,DR. GUILLERMO RAWSON,65,UEPA,TERCERA,PUBLICO
179,700059900,DR. JOSE IGNACIO DE LA ROZA,DR. GUILLERMO RAWSON,65,PRIMARIO,SEGUNDA,PUBLICO
180,700060100,DR. GUILLERMO RAWSON,DR. GUILLERMO RAWSON,65,PRIMARIO,PRIMERA,PUBLICO
181,700069100,ESCUELA TEC. CAP. LAB. RICARDO ROJAS,DR. GUILLERMO RAWSON,65,TEC. CAP. LABORAL,PRIMERA,PUBLICO
182,700095500,E.N.I. Nº 53 LOS COLIBRIES,DR. GUILLERMO RAWSON,65,INICIAL,PRIMERA,PUBLICO
183,700061200,9 DE JULIO,FLORENTINO AMEGHINO,66,PRIMARIO,TERCERA,PUBLICO
